sample	treatment	generation
AA_F0_Rep1_	AM	F0
AA_F0_Rep2_	AM	F0
AA_F0_Rep3_	AM	F0
AA_F11_Rep1	AM	F11
AA_F11_Rep2	AM	F11
AA_F11_Rep3	AM	F11
AA_F2_Rep2_	AM	F2
AA_F2_Rep3_	AM	F2
AA_F4_Rep1_	AM	F4
AA_F4_Rep2_	AM	F4
AA_F4_Rep3_	AM	F4
AH_F0_Rep1_	OA	F0
AH_F0_Rep2_	OA	F0
AH_F0_Rep3_	OA	F0
AH_F2_Rep1_	OA	F2
AH_F2_Rep2_	OA	F2
AH_F2_Rep3_	OA	F2
AH_F4_Rep1_	OA	F4
AH_F4_Rep2_	OA	F4
AH_F4_Rep3_	OA	F4
HA_F0_Rep1_	OW	F0
HA_F0_Rep2_	OW	F0
HA_F0_Rep3_	OW	F0
HA_F2_Rep1_	OW	F2
HA_F2_Rep2_	OW	F2
HA_F2_Rep3_	OW	F2
HA_F4_Rep1_	OW	F4
HA_F4_Rep2_	OW	F4
HA_F4_Rep3_	OW	F4
HH_F0_Rep1_	OWA	F0
HH_F0_Rep2_	OWA	F0
HH_F0_Rep3_	OWA	F0
HH_F11_Rep1	OWA	F11
HH_F11_Rep2	OWA	F11
HH_F11_Rep3	OWA	F11
HH_F4_Rep1_	OWA	F4
HH_F4_Rep2_	OWA	F4
HH_F4_Rep3_	OWA	F4
